,x,y,Ux,Uy,N,Q,M,PUx,PUy,PUtot,pile_number,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC8,UC9,UC10,UC11,UC12,UC13,UC14,UC_governing
0,0.1375,-1.104,-0.262117458032477,-0.145681153264857,-46.9829290275016,7.18189943610788,-17.2316394905325,-9.86641171039082e-05,-4.82769019072293e-06,9.87821572778774e-05,1.0,0.0,0.0,0.06747768300958869,0.0,0.0,0.6187093543045407,0.6187093543045407,0.6187093543045407,0.07220336418168632,0.0,0.0,0.0,0.6232625920088832,0.6232625920088832,0.6232625920088832
1,0.1375,-1.13119744429161,-0.263036595219504,-0.145272271334229,-46.9909995902323,7.15075570607372,-17.0367404728536,-9.84919679467566e-05,-4.82565292259096e-06,9.86101144718646e-05,1.0,0.0,0.0,0.06748927408926217,0.0,0.0,0.6117114220736026,0.6117114220736026,0.6117114220736026,0.07189026009249133,0.0,0.0,0.0,0.6162662241906982,0.6162662241906982,0.6162662241906982
2,0.1375,-1.15839488858323,-0.264023321931375,-0.1448643508376,-46.9990758473075,7.10458959196623,-16.8428142981008,-9.83200225164182e-05,-4.82361519971164e-06,9.84382755396694e-05,1.0,0.0,0.0,0.06750087334725023,0.0,0.0,0.6047484201822286,0.6047484201822286,0.6047484201822286,0.07142612817594043,0.0,0.0,0.0,0.6093047880848701,0.6093047880848701,0.6093047880848701
3,0.1375,-1.18559233287484,-0.265040795832563,-0.144457680858788,-47.0071521043827,7.04516621881535,-16.6503179241917,-9.8148244433105e-05,-4.82157747683232e-06,9.82666041677722e-05,1.0,0.0,0.0,0.06751247260523827,0.0,0.0,0.5978367558990533,0.5978367558990533,0.5978367558990533,0.07082871415048837,0.0,0.0,0.0,0.6023946898563263,0.6023946898563263,0.6023946898563263
4,0.1375,-1.21278977716646,-0.266066156851554,-0.144051967425482,-47.0152226671131,6.97425071165099,-16.4596941468615,-9.79766191449016e-05,-4.81954020870035e-06,9.80950858447475e-05,1.0,0.0,0.0,0.06752406368491133,0.0,0.0,0.5909923279935217,0.5909923279935217,0.5909923279935217,0.07011576373458947,0.0,0.0,0.0,0.5955518271700457,0.5955518271700457,0.5955518271700457
5,0.1375,-1.21278977716646,-0.266066156851554,-0.144051967425482,-47.0152290170143,6.97415138263759,-16.4596941468615,-9.79766191449016e-05,-4.81954020870035e-06,9.80950858447475e-05,1.0,0.0,0.0,0.0675240728047476,0.0,0.0,0.5909923279935217,0.5909923279935217,0.5909923279935217,0.07011476512844186,0.0,0.0,0.0,0.5955518284016627,0.5955518284016627,0.5955518284016627
6,0.1375,-1.27360511141677,-0.26836087121036,-0.143153812187732,-47.0332753438966,6.80418249190594,-16.0406813785064,-9.75932416622527e-05,-4.81498409499181e-06,9.77119485527839e-05,1.0,0.0,0.0,0.0675499912468298,0.0,0.0,0.5759474961017693,0.5759474961017693,0.5759474961017693,0.06840597961477203,0.0,0.0,0.0,0.5805104974192161,0.5805104974192161,0.5805104974192161
7,0.1375,-1.33442044566708,-0.270625521832398,-0.142260384947958,-47.0513344037205,6.60679613809472,-15.6326584279061,-9.72101843217388e-05,-4.81042752653593e-06,9.7329133094128e-05,1.0,0.0,0.0,0.06757592797617963,0.0,0.0,0.5612972582967105,0.5612972582967105,0.5612972582967105,0.06642155210843949,0.0,0.0,0.0,0.5658637643385523,0.5658637643385523,0.5658637643385523
8,0.1375,-1.3952357799174,-0.27285156611115,-0.141373088132031,-47.0693934635443,6.38244572269855,-15.2374529468978,-9.6827105153352e-05,-4.8058714128274e-06,9.69462979820009e-05,1.0,0.0,0.0,0.06760186470552931,0.0,0.0,0.5471072371958974,0.5471072371958974,0.5471072371958974,0.06416604089009514,0.0,0.0,0.0,0.5516772493075621,0.5516772493075621,0.5516772493075621
9,0.1375,-1.45605111416771,-0.275034779901735,-0.140490465887186,-47.0874397904263,6.13158464721201,-14.8568883789296,-9.64436767389998e-05,-4.80131529911887e-06,9.65631162066461e-05,1.0,0.0,0.0,0.06762778314761107,0.0,0.0,0.5334429043128796,0.5334429043128796,0.5334429043128796,0.06164400424038954,0.0,0.0,0.0,0.5380164213663399,0.5380164213663399,0.5380164213663399
